Country Name,Year,Employment Sector: Agriculture,Employment Sector: Industry,Employment Sector: Services,Unemployment Rate,GDP,Population,Continent
Albania,1991,53.29953307,12.17276418,34.52778057,10.304,1099559028,3266790,Europe
Algeria,1991,24.11856622,25.06773396,50.81369982,20.6,45715676428,25987928,Africa
Angola,1991,40.07185667,8.16334539,51.76482172,16.855,10603784541,12023529,Africa
Argentina,1991,13.66999888,28.5059035,57.82409762,5.44,1.90E+11,33230294,South America
Armenia,1991,54.26325177,15.79045377,29.94629447,1.783,2069870130,3613977,Europe
Australia,1991,5.356651665,24.29845393,70.34488142,9.586,3.26E+11,17284036,Oceania
Austria,1991,7.364230573,33.35947663,59.2763218,3.42,1.73E+11,7754891,Europe
Azerbaijan,1991,43.8754733,22.95063237,33.17392276,0.9,5344000000,7271300,Europe
"Bahamas, The",1991,5.253697061,15.31669482,79.42877591,12.17,3111160000,280731,North America
Bahrain,1991,2.432939059,28.5267348,69.04032614,1.051,5248911170,503052,Asia
Bangladesh,1991,64.16483309,12.53317276,23.30199136,2.2,30957483950,113787109,Asia
Barbados,1991,5.522603555,20.11784676,74.35857413,22.323,2020583702,259373,North America
Belarus,1991,22.22338751,39.25272318,38.52388931,0.6,18404907975,10194050,Europe
Belgium,1991,2.749767379,30.35922185,66.89101077,6.984,2.11E+11,10004486,Europe
Belize,1991,28.61280488,18.14214939,53.24504573,9.69,597100000,187040,North America
Benin,1991,55.70996097,16.85205602,27.43793404,1.64,1986437797,5446932,Africa
Bhutan,1991,72.25944169,5.538286301,22.20227201,1.385,240294286,599784,Asia
Bolivia,1991,43.52138016,18.80842134,37.67019849,2.934,5343262457,7280289,South America
Bosnia and Herzegovina,1991,27.34643987,32.23472019,40.41883994,17.55,6122959184,4458343,Europe
Botswana,1991,16.21518563,25.43297349,58.35158323,13.82,3942876703,1341756,Africa
Brazil,1991,18.32385647,23.79599849,57.88014503,6.894,3.43E+11,151724256,South America
Brunei Darussalam,1991,2.027552494,24.15842684,73.81494649,4.7,6284497300,262596,Asia
Bulgaria,1991,15.19837629,43.34273764,41.45891438,11.1,7628738475,8632367,Europe
Burkina Faso,1991,89.2910199,3.350062139,7.358893333,2.477,3135045584,9394632,Africa
Burundi,1991,91.96382143,2.454801925,5.581376644,3.158,1167398478,5703857,Africa
Cabo Verde,1991,37.21598329,13.50125262,49.28276409,13.535,319827058.6,384586,Africa
Cambodia,1991,78.505985,4.290343887,17.20367111,0.781,2054974089,7686850,Asia
