Country Name,Year,Employment Sector: Agriculture,Employment Sector: Industry,Employment Sector: Services,Unemployment Rate,GDP,Population,Continent
Afghanistan,2022,46.58907003,18.34007336,35.07085661,14.1,14497243872,40578842,Asia
Albania,2022,34.9267183,21.40014483,43.67313687,10.137,19017244117,2777689,Europe
Algeria,2022,9.743230159,30.85099849,59.40577135,12.346,2.25638E+11,45477389,Africa
Angola,2022,56.31826113,5.673967334,38.00777154,14.602,1.044E+11,35635029,Africa
Argentina,2022,7.205905708,19.95490469,72.83918961,6.805,6.3279E+11,45407904,South America
Armenia,2022,52.41622338,14.03889727,33.54487935,13.379,19513506553,2969200,Europe
Australia,2022,2.19955445,18.63664169,79.16380386,3.728,1.69086E+12,26014399,Oceania
Austria,2022,3.538558251,26.36417818,70.09724122,4.992,4.71774E+11,9041851,Europe
Azerbaijan,2022,35.62249033,14.91679665,49.46073212,5.65,78807470588,10141756,Europe
"Bahamas, The",2022,3.039179104,11.78544776,85.17490672,9.272,13896800000,397538,North America
Bahrain,2022,0.900848981,34.81757898,64.28157204,1.326,46458191489,1524693,Asia
Bangladesh,2022,36.85821648,21.8789547,41.26282883,4.593,4.60132E+11,169384897,Asia
Barbados,2022,2.724859169,16.51010447,80.76578846,8.365,6257303500,282318,North America
Belarus,2022,10.63098231,30.35777418,59.01122342,3.574,73775179925,9228071,Europe
Belgium,2022,0.907770508,19.06537326,80.02683647,5.57,5.93615E+11,11680210,Europe
Belize,2022,16.78499586,19.57342326,63.64158088,8.763,2846700000,402733,North America
Benin,2022,28.3861144,22.29028958,49.32357486,1.685,17425405084,13759501,Africa
Bhutan,2022,43.95561048,15.23973586,40.804404,5.947,2898227744,780914,Asia
Bolivia,2022,27.02018758,20.55059978,52.4291951,3.552,44008282880,12077154,South America
Bosnia and Herzegovina,2022,16.87260293,33.48507149,49.64232558,12.657,24534663636,3204802,Europe
Botswana,2022,17.63835664,15.70008323,66.66144581,23.615,20321150598,2439892,Africa
Brazil,2022,8.731440953,20.49170348,70.77685658,9.231,1.95192E+12,210306415,South America
Brunei Darussalam,2022,1.382475635,24.17660011,74.44092425,5.191,16681536443,455370,Asia
Bulgaria,2022,6.446483866,30.01904205,63.53444244,4.268,90509236929,6643324,Europe
Burkina Faso,2022,74.21480399,7.008756978,18.77643903,5.389,18820218691,22509038,Africa
Burundi,2022,85.05812986,3.119156823,11.82271332,0.915,3338722828,13321097,Africa
Cabo Verde,2022,10.13631788,21.96912668,67.89455545,12.246,2247003344,519741,Africa
Cambodia,2022,36.64083407,26.56749262,36.79167331,0.231,39994532960,17201724,Asia
Cameroon,2022,42.19715085,15.35627858,42.44657056,3.653,44347206073,27632771,Africa
Canada,2022,1.286757983,19.16134791,79.55189411,5.279,2.19041E+12,38939056,North America
Central African Republic,2022,70.84115214,6.267698687,22.89114918,5.956,2382618615,5098039,Africa
Chad,2022,69.15391404,9.622285311,21.22381869,1.096,17828508290,18455316,Africa
Chile,2022,6.318501381,22.80512347,70.87637515,8.249,3.01227E+11,19553036,South America
China,2022,22.57111743,32.15200797,45.27687447,4.98,1.83168E+13,1412175000,Asia
Colombia,2022,14.63932412,20.33265802,65.0280222,10.547,3.45632E+11,51737944,South America
Comoros,2022,34.62740697,14.97421437,50.39837866,3.816,1279542248,834188,Africa
"Congo, Dem. Rep.",2022,56.07445712,10.1822584,33.74328749,4.522,65801547756,102396968,Africa
"Congo, Rep.",2022,32.2527221,22.17505185,45.57222605,20.108,15817030157,6035104,Africa
Costa Rica,2022,13.40747459,18.96904473,67.62348068,11.325,69243626029,5081765,North America
Cote d'Ivoire,2022,45.58005715,10.45594353,43.96398965,2.306,70922824824,30395002,Africa
Croatia,2022,5.89584597,28.38965297,65.71444172,6.96,71198635102,3855641,Europe
Cyprus,2022,2.374616877,17.1549703,80.47056944,6.806,30935566077,1331370,Europe
Czechia,2022,2.530306691,36.44288575,61.02680756,2.224,3.01831E+11,10672118,Europe
Denmark,2022,2.118090002,19.07634724,78.80556276,4.434,4.01946E+11,5903037,Europe
Djibouti,2022,1.164693688,5.977306203,92.85854563,26.307,3562814909,1137096,Africa
Dominican Republic,2022,7.713366906,20.26194944,72.02470411,5.504,1.13478E+11,11230734,North America
Ecuador,2022,31.53828814,17.34829025,51.11342161,3.761,1.16133E+11,17823897,South America
"Egypt, Arab Rep.",2022,18.65741398,28.35966954,52.98292304,7.344,4.76748E+11,112618250,Africa
El Salvador,2022,14.97369295,23.42976768,61.59650301,2.999,31870120000,6280319,North America
Equatorial Guinea,2022,55.53255281,13.14243183,31.32501535,8.455,13687643436,1803545,Africa
Estonia,2022,2.600676678,28.62181588,68.77750744,5.571,38376046175,1348840,Europe
Eswatini,2022,13.44680162,23.98089069,62.57230769,35.359,4741163885,1218917,Africa
Ethiopia,2022,62.79135976,6.523415442,30.6852248,3.409,1.26773E+11,125384287,Africa
Fiji,2022,28.79557484,14.23683028,56.96786885,4.446,4969503549,919422,Oceania
Finland,2022,3.762785049,21.39543318,74.84178178,6.719,2.80253E+11,5556106,Europe
France,2022,2.587523142,19.2561003,78.15637656,7.308,2.7963E+12,68065015,Europe
Gabon,2022,29.29551334,16.18787446,54.5166122,20.399,20440655695,2430747,Africa
"Gambia, The",2022,47.52260692,7.507795875,44.9695972,6.076,2204734527,2636470,Africa
Georgia,2022,39.91160465,13.82075869,46.26763666,11.647,24984568960,3712502,Europe
Germany,2022,1.24058628,26.87459223,71.88483088,3.12,4.1636E+12,83797985,Europe
Ghana,2022,39.74125945,18.86489061,41.39386418,3.084,73919003210,33149152,Africa
Greece,2022,11.15627566,15.55857419,73.2851748,12.426,2.18881E+11,10436882,Europe
Guam,2022,0.240547545,13.40022593,86.35922653,5.454,6910000000,165180,#CALC!
Guatemala,2022,27.14158375,22.01264673,50.84576952,3.051,95641441235,17847877,North America
Guinea,2022,60.3369222,7.218907408,32.4441704,5.267,19910452542,14055137,Africa
Guinea-Bissau,2022,50.30000044,10.60778111,39.09236497,2.666,1839048748,2105529,Africa
Guyana,2022,11.86340144,25.42874881,62.70745432,12.013,14718388489,821637,South America
Haiti,2022,45.52035364,12.30558372,42.17406264,14.635,20253551921,11503606,North America
Honduras,2022,24.22019896,23.438808,52.34096949,8.774,31426041807,10463872,North America
"Hong Kong SAR, China",2022,0.213015913,14.00074685,85.78623724,4.318,3.5868E+11,7346100,Asia
Hungary,2022,4.364831067,31.37618308,64.25898586,3.609,1.77537E+11,9644377,Europe
Iceland,2022,4.103158825,17.98652529,77.91031588,3.789,28696453180,382003,Europe
India,2022,42.86093361,26.12032405,31.01873854,4.822,3.34611E+12,1425423212,Asia
Indonesia,2022,29.28486282,21.86796844,48.84716874,3.462,1.3191E+12,278830529,Asia
"Iran, Islamic Rep.",2022,15.08523653,34.23787305,50.67689425,9.085,3.94363E+11,89524246,Asia
Iraq,2022,8.36873767,27.51534402,64.11591831,15.511,2.87372E+11,44070551,Asia
Ireland,2022,3.995262588,19.24991246,76.75482495,4.501,5.4857E+11,5165700,Europe
Israel,2022,0.767149662,15.70970534,83.523145,3.695,5.25181E+11,9557500,Asia
Italy,2022,3.787545705,26.87125799,69.34118774,8.069,2.10407E+12,59013667,Europe
Jamaica,2022,15.29880895,17.1763688,67.52489202,4.083,17097760687,2839144,North America
Japan,2022,3.100891579,23.5516576,73.34745083,2.6,4.26246E+12,125124989,Asia
Jordan,2022,3.1830278,18.24454783,78.57242437,18.2,48764963380,11256263,Asia
Kazakhstan,2022,12.86139148,21.50874835,65.62986017,4.86,2.25496E+11,20034609,Asia
Kenya,2022,32.63428181,15.57991222,51.7857974,5.707,1.14449E+11,54252461,Africa
"Korea, Rep.",2022,5.431802706,24.45727967,70.11091762,2.857,1.67392E+12,51672569,Asia
Kuwait,2022,1.949254525,25.15865878,72.89204447,2.174,1.83502E+11,4589643,Asia
Kyrgyz Republic,2022,24.57753586,24.56695465,50.85550949,4.043,12134931018,6975219.5,Asia
Lao PDR,2022,69.56600028,7.178394364,23.25563882,1.209,15468785204,7559007,Asia
Latvia,2022,6.786741427,23.66913582,69.54412275,6.815,38014713596,1879383,Europe
Lebanon,2022,3.522787782,20.43181915,76.04539307,11.6,20992421949,5744489,Asia
Lesotho,2022,29.38858768,35.04183999,35.56957233,16.688,2354980884,2286110,Africa
Liberia,2022,39.27988945,8.325286611,52.39482394,2.977,4001047000,5373294,Africa
Libya,2022,9.210169652,22.76924437,68.02058598,19.282,43246297922,7223805,Africa
Lithuania,2022,5.457333614,25.74465301,68.79793986,5.955,71033884500,2831639,Europe
Luxembourg,2022,1.068924742,9.11830869,89.81276657,4.588,80801680397,653103,Europe
"Macao SAR, China",2022,0.509360847,14.49047311,84.99991059,2.482,24999113476,677300,Asia
Madagascar,2022,70.06644134,9.859457151,20.07409487,3.186,15325603273,30437261,Africa
Malawi,2022,62.1409788,8.088354241,29.77066695,5.037,12429060151,20568728,Africa
Malaysia,2022,9.996180595,28.13386759,61.86995788,3.93,4.07606E+11,34695493,Asia
Maldives,2022,7.317141631,25.19337415,67.48908323,4.419,6177118114,524106,Asia
Mali,2022,67.97711511,10.14650885,21.87637604,2.387,22374051350,23072640,Africa
Malta,2022,0.813678712,17.15616158,82.03050773,2.921,19239187084,531511,Europe
Mauritania,2022,33.04791289,14.70018998,52.25189712,10.531,9557966698,4875637,Africa
Mauritius,2022,5.147311256,21.46281331,73.38987543,6.322,12907767790,1262523,Africa
Mexico,2022,12.63819508,25.02699941,62.33480375,3.256,1.46646E+12,128613117,North America
Moldova,2022,55.38077255,12.67968574,31.93954172,0.897,14525337524,2528654,Europe
Mongolia,2022,26.33080906,22.08092166,51.58819255,6.211,17146471714,3433748,Asia
Montenegro,2022,7.162948297,18.48747729,74.34957441,14.851,6229801581,617213,Europe
Morocco,2022,30.75114924,23.95512349,45.29371815,9.494,1.30952E+11,37329064,Africa
Mozambique,2022,70.12921582,9.081609893,20.78917428,3.596,18883528581,32656246,Africa
Myanmar,2022,45.54245165,18.78535049,35.67219329,3.057,62253049892,53756787,Asia
Namibia,2022,21.55774867,16.57819782,61.86418257,19.695,12569449123,2889662,Africa
Nepal,2022,61.3882643,17.45695814,21.15476472,10.844,41182939601,29715436,Asia
Netherlands,2022,1.914362744,14.02762126,84.058016,3.526,1.04654E+12,17700982,Europe
New Caledonia,2022,1.82395549,22.37822801,75.7978165,10.71,9623318718,287123,Oceania
New Zealand,2022,6.024886342,20.77285812,73.20222114,3.297,2.4951E+11,5117200,Oceania
Nicaragua,2022,27.70323388,18.1763456,54.12042052,4.961,15634572502,6730654,North America
Niger,2022,70.89226076,7.370815516,21.73693395,0.418,15433852714,25311973,Africa
Nigeria,2022,37.98524309,14.56029601,47.45446232,3.821,4.77403E+11,223150896,Africa
North Macedonia,2022,9.702911199,30.40069118,59.89639762,14.476,13932436550,1831712,Europe
Norway,2022,2.196992797,19.34405584,78.45895136,3.231,5.96298E+11,5457127,Europe
Oman,2022,6.06516284,46.8870441,47.04783797,3.3,1.09853E+11,4730226,Asia
Pakistan,2022,36.43030719,25.51703974,38.05265575,5.485,3.7489E+11,243700667,Asia
Panama,2022,15.29523374,16.70518081,67.99958545,8.086,76276116700,4400773,North America
Papua New Guinea,2022,18.48397886,11.50715235,70.00883632,2.689,31653185953,10203169,Oceania
Paraguay,2022,17.41289191,18.74360733,63.84353226,6.755,41952910858,6760464,South America
Peru,2022,25.69725569,17.45366511,56.84907919,3.85,2.46066E+11,33475438,South America
Philippines,2022,23.71467264,18.90886111,57.37646626,2.598,4.04353E+11,113964338,Asia
Poland,2022,8.25376468,30.834134,60.91209612,2.811,6.95608E+11,36821749,Europe
Portugal,2022,5.03906732,24.00185614,70.95907654,6.011,2.56899E+11,10434332,Europe
Qatar,2022,1.298522831,40.02786248,58.67361469,0.13,2.35709E+11,2657333,Asia
Romania,2022,18.01388039,32.8303422,49.15578979,5.614,2.96354E+11,19048502,Europe
Russian Federation,2022,5.658673165,26.57165962,67.76966862,3.867,2.29161E+12,144236933,Asia
Rwanda,2022,55.99297534,14.43689248,29.57013218,15.084,13316161006,13651030,Africa
Samoa,2022,20.13845927,16.26454559,63.59846811,5.048,832945205.6,215261,Oceania
Sao Tome and Principe,2022,17.14627542,20.04754109,62.8077577,8.992,540809499.2,226305,Africa
Saudi Arabia,2022,2.884131131,16.88316034,80.23270853,5.589,1.23908E+12,32175224,Asia
Senegal,2022,21.52859626,22.62582935,55.84555427,2.837,27783332223,17651103,Africa
Serbia,2022,13.57159338,29.07621545,57.35216121,8.439,66797564758,6664449,Europe
Sierra Leone,2022,43.34564539,12.00812391,44.64626725,3.175,7124465160,8276807,Africa
Singapore,2022,0.108319879,14.23781906,85.65383343,3.591,5.09018E+11,5637022,Asia
Slovak Republic,2022,2.542110143,35.87800582,61.57988404,6.143,1.15884E+11,5431752,Europe
Slovenia,2022,4.309255955,30.19555805,65.4950877,4.011,59927702746,2112076,Europe
Solomon Islands,2022,37.28863165,11.40035121,51.31101714,1.483,1566360686,781066,Oceania
